cache_policy_short	cache_percentage	batch_size	unsupervised	dataset_short	sample_type_short	pipeline	Step(average) L1 sample	Step(average) L1 recv	Step(average) L2 feat copy	Step(average) L1 train total	Time.L	Time.R	Time.C	Wght.L	Wght.R	Wght.C	optimal_local_rate	optimal_remote_rate	optimal_cpu_rate	Thpt.L	Thpt.R	Thpt.C	SizeGB.L	SizeGB.R	SizeGB.C	coll_cache:local_cache_rate	coll_cache:remote_cache_rate	coll_cache:global_cache_rate	train_process_time	epoch_time:train_total	epoch_time:copy_time
Cliq_2	0	4000	True	PR	3HopRnd	False	0.013615	0.004608	0.064658	0.214171	0	0	0.064658	0.000000	0.000000	100.000000	None	None	None	nan	nan	7.948069	0.000000	0.000000	0.513906	0	0	0	47.3348	35.766500	11.568300
Rep_2	0	4000	True	PR	3HopRnd	False	0.013575	0.004605	0.063618	0.209771	0	0	0.063618	0.000000	0.000000	100.000000	None	None	None	nan	nan	8.079229	0.000000	0.000000	0.513984	0	0	0	46.4257	35.031700	11.394000
Coll_2	0	4000	True	PR	3HopRnd	False	0.013609	0.004605	0.065634	0.215061	0	0	0.065634	0.000000	0.000000	100.000000	None	None	None	nan	nan	7.830027	0.000000	0.000000	0.513916	0	0	0	47.6461	35.915300	11.730800
Cliq_2	1.000000	4000	True	PR	3HopRnd	False	0.013537	0.004611	0.206817	0.056344	0.000058	0.000891	0.060072	1.774721	3.549441	94.675838	0.017751	0.035501	0.946748	157.260237	20.473836	8.099981	0.009121	0.018242	0.486582	0.010000	0.020000	0.030000	44.7187	9.409400	35.309300
Rep_2	1.000000	4000	True	PR	3HopRnd	False	0.013565	0.004606	0.220004	0.056314	0.000072	0.000004	0.064367	1.774957	0.000000	98.225043	0.017750	0.000000	0.982250	126.681858	0.000000	7.841842	0.009121	0.000000	0.504756	0.010000	0.000000	0.010000	46.9150	9.404300	37.510700
Coll_2	1.000000	4000	True	PR	3HopRnd	False	0.013575	0.004606	0.208118	0.056348	0.000056	0.000306	0.060587	1.575177	3.184556	95.240267	0.015758	0.031850	0.952392	144.566127	53.487541	8.079162	0.008096	0.016367	0.489492	0.010000	0.020000	0.030000	44.9359	9.410200	35.525700
Cliq_2	2.000000	4000	True	PR	3HopRnd	False	0.013578	0.004598	0.203946	0.056175	0.000104	0.001748	0.059214	3.542447	7.090595	89.366959	0.035449	0.070898	0.893653	175.030048	20.844134	7.755239	0.018203	0.036436	0.459219	0.020000	0.040000	0.059999	44.2091	9.381300	34.827800
Rep_2	2.000000	4000	True	PR	3HopRnd	False	0.013528	0.004581	0.215684	0.056505	0.000101	0.000002	0.063490	3.550869	0.000000	96.449131	0.035502	0.000000	0.964498	180.712407	0.000000	7.808501	0.018252	0.000000	0.495762	0.020000	0.000000	0.020000	46.2212	9.436300	36.784900
Coll_2	2.000000	4000	True	PR	3HopRnd	False	0.013586	0.004600	0.192667	0.056369	0.000104	0.000635	0.056220	3.412113	6.885022	89.702865	0.034124	0.068874	0.897003	168.644832	55.733268	8.201596	0.017539	0.035391	0.461094	0.019992	0.040000	0.059992	42.3579	9.413500	32.944400
Cliq_2	3.000000	4000	True	PR	3HopRnd	False	0.013525	0.004623	0.196308	0.056174	0.000146	0.002595	0.056699	5.298265	10.596530	84.105205	0.052985	0.105970	0.841046	186.483305	20.983863	7.622661	0.027227	0.054453	0.432197	0.030000	0.059999	0.089999	42.9373	9.381000	33.556300
