sample_type_short	unsupervised	batch_size	dataset_short	cache_percentage	CliqDeg_2	Cliq_2	Coll_2	Rep_2
2HopRnd	False	2000	MAG2_H	1.0	3.145677171225619	1.229465091636906	1	1.794788273615635
2HopRnd	False	2000	MAG2_H	2.0	3.9564199223212246	1.381711217729038	1	1.7355494631025818
2HopRnd	False	2000	MAG2_H	4.0	3.897215617089821	1.6610416506865078	1	1.4619927897522436
2HopRnd	False	2000	MAG2_H	6.0	2.8687934756536344	1.7255936675461743	1	1.1995682417846008
2HopRnd	False	4000	MAG2_H	1.0	3.215490055922298	1.2410965815918935	1	1.8389185552705716
2HopRnd	False	4000	MAG2_H	2.0	4.103488876495012	1.3847679246452254	1	1.783478961393072
2HopRnd	False	4000	MAG2_H	4.0	4.178303270907051	1.7016483990679208	1	1.5248122896349356
2HopRnd	False	4000	MAG2_H	6.0	3.0674952372312436	1.7850857298376122	1	1.2432187244851673
2HopRnd	False	8000	CF	1.0	1.0294412482566249	1.0244508368200835	1	1.1659911087866108
2HopRnd	False	8000	CF	10.0	1.2637151845315737	1.262794444870713	1	2.297629095373283
2HopRnd	False	8000	CF	20.0	1.6315870333384543	1.6231371946535564	1	2.7779996927331387
2HopRnd	False	8000	CF	30.0	1.705536763396831	1.7228057682036675	1	2.0683638953177854
2HopRnd	False	8000	CF	40.0	1.7303621169916434	1.7290622098421542	1	1.527205199628598
2HopRnd	False	8000	CF	50.0			1	
2HopRnd	False	8000	MAG2_H	1.0	3.1951596519895773	1.232566356048227	1	1.8687011438413639
2HopRnd	False	8000	MAG2_H	2.0	4.191744162708236	1.3857630293704422	1	1.8554224928079213
2HopRnd	False	8000	MAG2_H	4.0	4.338013471207665	1.7113177117920502	1	1.5770799734370553
2HopRnd	False	8000	MAG2_H	6.0	3.1733959624225467	1.8023186088346992	1	1.2719368378972618
2HopRnd	False	8000	PA	1.0	4.1683958499600955	1.1303538175046555	1	1.7273210960361798
2HopRnd	False	8000	PA	10.0	2.0027646129541865	1.2768562401263823	1	0.9715639810426541
2HopRnd	False	8000	PA	20.0	1.397003745318352	1.3108614232209737	1	0.9875156054931336
2HopRnd	False	8000	PA	30.0	1.229559748427673	1.2173742138364778	1	0.9512578616352201
2HopRnd	False	8000	PA	40.0	1.346086956521739	1.3956521739130434	1	0.9943478260869564
2HopRnd	False	8000	PA	50.0	1.3071458420392812	1.3125783535311324	1	0.9665691600501463
2HopRnd	False	8000	PA_U	1.0	2.7077243224495864	1.0754099985136005	1	1.7629688351583015
2HopRnd	False	8000	PA_U	10.0	4.375507835171212	1.5623911781775972	1	1.4962275101567033
2HopRnd	False	8000	PA_U	20.0	1.8155511811023621	1.5429133858267718	1	0.9952755905511812
2HopRnd	False	8000	PA_U	30.0	1.4225685539554151	1.4125073979088576	1	0.9784967449201025
2HopRnd	False	8000	PA_U	40.0	1.6316154379477699	1.632770972960481	1	1.1421308065634388
2HopRnd	False	8000	PA_U	50.0	1.7760442878711626	1.776799194765979	1	1.21665827881228
2HopRnd	False	8000	PR	1.0	1.0120460103251516	1.008604293089394	1	1.0627660537994745
2HopRnd	False	8000	PR	10.0	1.2618141097424411	1.054871220604703	1	1.9722284434490482
2HopRnd	False	8000	PR	20.0	1.4479166666666667	1.1484375	1	4.152994791666667
2HopRnd	False	8000	PR	30.0	1.3283410138248848	1.2753456221198156	1	5.132488479262673
2HopRnd	False	8000	PR	40.0	1.3236714975845412	1.318840579710145	1	3.6570048309178746
2HopRnd	False	8000	PR	50.0	1.4817320703653587	1.4803788903924222	1	2.718538565629229
2HopRnd	False	8000	TW	1.0	1.108937855904927	1.0693240901213172	1	1.2582322357019065
2HopRnd	False	8000	TW	10.0	1.5377358490566038	1.3169811320754716	1	1.5647798742138364
2HopRnd	False	8000	TW	20.0	1.224502886465683	1.1808851828094933	1	1.055805003207184
2HopRnd	False	8000	TW	30.0	1.0844024307900066	1.0938555030384876	1	0.9702903443619175
2HopRnd	False	8000	TW	40.0	1.3738898756660747	1.3730017761989342	1	1.2238010657193605
2HopRnd	False	8000	TW	50.0	1.8481012658227847	1.7813578826237053	1	1.487917146144994
2HopRnd	False	8000	UK	1.0	1.2028949950932286	1.0393768400392542	1	1.153459273797841
2HopRnd	False	8000	UK	10.0	2.1049611879851504	1.2845089436382044	1	1.9125885926425918
2HopRnd	False	8000	UK	20.0	1.5433906993775173	1.262175027462468	1	1.3189307945807396
2HopRnd	False	8000	UK	30.0	1.1283004834510972	1.1729267385645223	1	1.0074377091855709
2HopRnd	False	8000	UK	40.0			1	
2HopRnd	False	8000	UK	50.0			1	
2HopRnd	True	2000	MAG2_H	1.0	1.0261045780873863	1.0391874906797895	1	1.2075451098187087
2HopRnd	True	2000	MAG2_H	2.0	1.0821908233411033	1.073205679757041	1	1.4313393141095763
2HopRnd	True	2000	MAG2_H	4.0	1.1510300099652033	1.1594432555176186	1	1.7990078360261164
2HopRnd	True	2000	MAG2_H	6.0	1.260896063508931	1.2620915441233924	1	2.1890578362582236
2HopRnd	True	4000	CF	1.0	1.0153545670049526	1.025195134553965	1	1.1865030074397973
2HopRnd	True	4000	CF	10.0	1.3241022869692196	1.3353416656126753	1	2.4525531499005417
2HopRnd	True	4000	CF	20.0	1.714041826717883	1.7234314980793854	1	2.668745964520612
2HopRnd	True	4000	CF	30.0	1.9250290789891087	1.9262054562757747	1	2.010005815797822
2HopRnd	True	4000	CF	40.0			1	
2HopRnd	True	4000	CF	50.0			1	
2HopRnd	True	4000	MAG2_H	1.0	1.0332362059466085	1.0355209381244639	1	1.2108874957855122
2HopRnd	True	4000	MAG2_H	2.0	1.0917023164546915	1.07434333451164	1	1.438169560732089
2HopRnd	True	4000	MAG2_H	4.0	1.1534873370834307	1.1591237503978726	1	1.8080267483162586
2HopRnd	True	4000	PA	1.0	1.0514749199573106	1.015385272145144	1	1.195257203842049
2HopRnd	True	4000	PA	10.0	1.278594798799204	1.1765271359665395	1	2.455695348601882
2HopRnd	True	4000	PA	20.0	1.3700195218741	1.3537619611482703	1	2.750568054533235
2HopRnd	True	4000	PA	30.0	1.4585123966942148	1.4581450872359962	1	2.0099908172635446
2HopRnd	True	4000	PA	40.0	1.5357128985901272	1.537926748747427	1	1.4818813842389404
2HopRnd	True	4000	PA	50.0	1.5779088771076653	1.574879419619723	1	1.1730378283573164
2HopRnd	True	4000	PA_U	1.0	0.9962146140875924	1.011141588484997	1	1.1396029187823355
