cache_policy_short	cache_percentage	dataset_short	sample_type_short	Step L1 miss nbytes MB	Step L3 cache extract_miss_bandwidth	Step L3 cache copy_miss_bandwidth	Step L3 cache combine_miss_bandwidth
Deg	1.0	PA	2HopRnd	144.70 MB	33.71 GB/s	23.33 GB/s	619.77 GB/s
Deg	2.0	PA	2HopRnd	132.85 MB	34.38 GB/s	23.30 GB/s	617.79 GB/s
Deg	3.0	PA	2HopRnd	122.21 MB	34.73 GB/s	23.27 GB/s	596.73 GB/s
Deg	4.0	PA	2HopRnd	113.03 MB	35.30 GB/s	23.24 GB/s	603.17 GB/s
Deg	5.0	PA	2HopRnd	105.14 MB	35.25 GB/s	23.22 GB/s	586.72 GB/s
Deg	10.0	PA	2HopRnd	73.82 MB	37.18 GB/s	23.08 GB/s	572.14 GB/s
Deg	15.0	PA	2HopRnd	52.48 MB	41.57 GB/s	22.87 GB/s	533.85 GB/s
Deg	20.0	PA	2HopRnd	36.26 MB	48.31 GB/s	22.53 GB/s	491.81 GB/s
Deg	25.0	PA	2HopRnd	24.84 MB	53.55 GB/s	22.01 GB/s	425.58 GB/s
Deg	30.0	PA	2HopRnd	16.78 MB	56.12 GB/s	21.23 GB/s	381.09 GB/s
Deg	40.0	PA	2HopRnd	7.46 MB	60.21 GB/s	19.12 GB/s	260.18 GB/s
Deg	50.0	PA	2HopRnd	3.59 MB	52.33 GB/s	15.94 GB/s	152.43 GB/s
Deg	60.0	PA	2HopRnd	1.79 MB	48.56 GB/s	12.22 GB/s	87.40 GB/s
Deg	70.0	PA	2HopRnd	0.51 MB	26.21 GB/s	10.60 GB/s	26.21 GB/s
Deg	80.0	PA	2HopRnd	0.45 MB	27.22 GB/s	11.17 GB/s	27.22 GB/s
Deg	5.0	UK	2HopRnd	103.83 MB	37.50 GB/s	23.16 GB/s	599.98 GB/s
Deg	10.0	UK	2HopRnd	90.64 MB	36.29 GB/s	23.07 GB/s	594.06 GB/s
Deg	15.0	UK	2HopRnd	78.26 MB	29.70 GB/s	23.08 GB/s	570.34 GB/s
Deg	20.0	UK	2HopRnd	68.52 MB	31.50 GB/s	23.01 GB/s	567.07 GB/s
Deg	25.0	UK	2HopRnd	59.40 MB	31.87 GB/s	22.91 GB/s	552.46 GB/s
Deg	30.0	UK	2HopRnd	51.84 MB	36.42 GB/s	22.67 GB/s	538.56 GB/s
Deg	35.0	UK	2HopRnd	45.18 MB	32.32 GB/s	22.70 GB/s	519.07 GB/s
Deg	40.0	UK	2HopRnd	39.38 MB	36.08 GB/s	22.56 GB/s	499.44 GB/s
Deg	50.0	UK	2HopRnd	28.55 MB	35.84 GB/s	22.11 GB/s	449.69 GB/s
Deg	60.0	UK	2HopRnd	18.71 MB	40.07 GB/s	21.07 GB/s	406.03 GB/s
Deg	70.0	UK	2HopRnd	10.02 MB	35.71 GB/s	19.77 GB/s	305.79 GB/s
Deg	80.0	UK	2HopRnd	2.84 MB	30.82 GB/s	14.60 GB/s	126.07 GB/s
PreS_1	1.0	PA	2HopRnd	36.51 MB	31.58 GB/s	22.59 GB/s	488.42 GB/s
