cache_policy_short	cache_percentage	dataset_short	sample_type	app	hit_percent	optimal_hit_percent	train_set_percent
Deg	10.0	PR	kKHop2	gcn	19.530	19.880	10
PreS_1	10.0	PR	kKHop2	gcn	19.620	19.880	10
Deg	10.0	PR	kKHop2	gcn	19.150	20.613	8
PreS_1	10.0	PR	kKHop2	gcn	20.390	20.613	8
Deg	10.0	PR	kKHop2	gcn	19.210	20.721	6
PreS_1	10.0	PR	kKHop2	gcn	20.450	20.721	6
Deg	10.0	PR	kKHop2	gcn	19.490	21.125	3
PreS_1	10.0	PR	kKHop2	gcn	20.480	21.125	3
Deg	10.0	PR	kKHop2	gcn	19.690	21.412	2
PreS_1	10.0	PR	kKHop2	gcn	20.330	21.412	2
Deg	10.0	PR	kKHop2	gcn	20.020	21.949	1
PreS_1	10.0	PR	kKHop2	gcn	19.400	21.949	1
Deg	10.0	PR	kKHop2	gcn	19.310	21.156	0.3
PreS_1	10.0	PR	kKHop2	gcn	14.710	21.156	0.3
Deg	10.0	PR	kKHop2	gcn	24.740	31.504	0.1
PreS_1	10.0	PR	kKHop2	gcn	18.130	31.504	0.1
Deg	10.0	PR	kKHop2	gcn	31.520	47.958	0.03
PreS_1	10.0	PR	kKHop2	gcn	25.390	47.958	0.03
Deg	10.0	PR	kKHop2	gcn	36.300	65.378	0.01
PreS_1	10.0	PR	kKHop2	gcn	35.230	65.378	0.01
Deg	10.0	PR	kKHop2	gcn	37.520	85.698	0.003
PreS_1	10.0	PR	kKHop2	gcn	30.650	85.698	0.003
Deg	10.0	PR	kRandomWalk	pinsage	26.000	27.468	10
PreS_1	10.0	PR	kRandomWalk	pinsage	27.000	27.468	10
Deg	10.0	PR	kRandomWalk	pinsage	26.000	31.237	8
PreS_1	10.0	PR	kRandomWalk	pinsage	30.000	31.237	8
Deg	10.0	PR	kRandomWalk	pinsage	27.000	31.322	6
PreS_1	10.0	PR	kRandomWalk	pinsage	30.000	31.322	6
Deg	10.0	PR	kRandomWalk	pinsage	27.000	31.596	3
PreS_1	10.0	PR	kRandomWalk	pinsage	29.000	31.596	3
Deg	10.0	PR	kRandomWalk	pinsage	27.000	31.752	2
PreS_1	10.0	PR	kRandomWalk	pinsage	29.000	31.752	2
