dataset_short	sample_type_short	unsupervised	batch_size	Step L1 train total	theory_cache.16G	theory_cache.32G	mem.trainer.total	mem.trainer.uncountable	mem.trainer.torch.reserve	mem.trainer.torch.reserve.allocated	mem.trainer.sam.total	mem.trainer.sam.cache	mem.trainer.sam.batch_feat	mem.trainer.sam.batch_feat.max	mem.trainer.sam.batch_feat.min	scale_factor	predict_factor	mem.sampler.total	mem.sampler.uncountable	mem.sampler.sam.total	mem.sampler.sam.graph	step.graph.MB
PR	3HopRnd	True	1000	0.026728	1309.114390	3063.500355	4.070000	1.803311	1.554688	1.410156	0.712002	0.009123	0.293096	0.296299	0.288223	1.028021	5.369264	2.050000	1.379775	0.670225	0.470000	14.720000
PR	3HopRnd	False	1000	0.014768	1435.307018	3189.692982	2.910000	1.814795	0.673828	0.644201	0.421377	0.000000	0.161963	0.164150	0.159033	1.032177	2.429765	1.950000	1.385811	0.564189	0.470000	6.280000
PR	3HopRnd	True	2000	0.039767	1116.131934	2870.517899	5.830000	1.824385	3.031250	2.364258	0.974365	0.009123	0.406211	0.408779	0.402617	1.015305	7.749478	2.230000	1.373799	0.856201	0.470000	25.690000
PR	3HopRnd	False	2000	0.020171	1349.780702	3104.166667	3.690000	1.806387	1.271484	1.124023	0.612129	0.000000	0.246719	0.249414	0.244102	1.021763	3.188261	2.030000	1.377637	0.652363	0.470000	11.430000
PR	3HopRnd	True	4000	0.059193	919.860004	2674.245969	7.620000	1.850469	4.519531	3.690430	1.250000	0.009123	0.514102	0.515938	0.511973	1.007744	12.245892	2.590000	1.380000	1.210000	0.470000	42.230000
PR	3HopRnd	False	4000	0.030269	1203.947368	2958.333333	5.020000	1.821592	2.369141	1.867188	0.829268	0.000000	0.344023	0.346475	0.340947	1.016212	4.574018	2.190000	1.368213	0.821787	0.470000	19.930000
PR	3HopRnd	True	8000	0.085790	445.079302	2199.465267	11.950000	1.889453	8.560547	5.291992	1.500000	0.009123	0.605557	0.606934	0.604277	1.004396	20.790586	3.240000	1.400000	1.840000	0.470000	65.040000
PR	3HopRnd	False	8000	0.045365	1027.412281	2781.798246	6.630000	1.821719	3.738281	2.892578	1.070000	0.000000	0.441230	0.443213	0.438936	1.009745	7.130311	2.520000	1.380000	1.140000	0.470000	32.540000
TW	3HopRnd	True	1000	0.025203	25.697951	65.979925	6.190000	1.885469	2.144531	1.498047	2.160000	0.397226	0.573164	0.590850	0.557783	1.059282	7.023133	7.190000	1.380000	5.810000	5.625200	9.260000
TW	3HopRnd	False	1000	0.011557	31.722054	72.004028	3.400000	1.903984	0.416016	0.381327	1.080000	0.000000	0.139697	0.153457	0.128027	1.198627	7.214396	7.130000	1.420000	5.710000	5.625200	1.960000
TW	3HopRnd	True	2000	0.037924	20.536824	60.818797	8.240000	1.894922	3.455078	2.454102	2.890000	0.397226	0.897129	0.912490	0.883037	1.033354	8.986660	7.350000	1.380000	5.970000	5.625200	16.190000
TW	3HopRnd	False	2000	0.013728	29.582075	69.864048	4.250000	1.881797	0.908203	0.637561	1.460000	0.000000	0.242090	0.255830	0.227041	1.126801	8.320726	7.170000	1.390000	5.780000	5.625200	3.500000
TW	3HopRnd	True	4000	0.057330	16.558979	56.840953	9.820000	1.909766	3.990234	3.896484	3.920000	0.397226	1.360000	1.380000	1.350000	1.022222	11.820063	7.690000	1.390000	6.300000	5.625200	28.030000
TW	3HopRnd	False	4000	0.018247	27.416918	67.698892	5.110000	1.885234	1.384766	1.094727	1.840000	0.000000	0.413174	0.429141	0.400039	1.072747	9.717449	7.310000	1.380000	5.930000	5.625200	6.300000
TW	3HopRnd	True	8000	None	nan	nan	None	None	None	None	None	426518528.000000	nan	nan	nan	None	None	None	None	None	None	None
TW	3HopRnd	False	8000	0.028008	22.784491	63.066465	6.950000	1.884531	2.605469	1.875977	2.460000	0.000000	0.694131	0.705850	0.678037	1.041019	11.589399	7.610000	1.390000	6.220000	5.625200	11.460000
PA	3HopRnd	True	1000	0.022269	21.317173	51.528653	5.240000	1.900156	1.089844	1.019531	2.250000	0.529575	0.295859	0.307881	0.285166	1.079655	6.816520	8.000000	1.390000	6.610000	6.432600	6.180000
PA	3HopRnd	False	1000	0.011104	21.827795	52.039275	4.440000	2.058672	0.361328	0.254051	2.020000	0.000000	0.053379	0.058877	0.047783	1.232168	9.440625	8.070000	1.540000	6.530000	6.432600	1.460000
PA	3HopRnd	True	2000	0.032915	17.068684	47.280164	7.490000	1.910859	2.369141	1.954102	3.210000	0.529575	0.572939	0.592090	0.549316	1.077867	7.027988	8.180000	1.390000	6.790000	6.432600	12.200000
PA	3HopRnd	False	2000	0.013217	21.374622	51.586103	4.680000	1.968203	0.591797	0.461018	2.120000	0.000000	0.096035	0.102695	0.088682	1.158022	10.491334	8.050000	1.450000	6.600000	6.432600	2.730000
PA	3HopRnd	True	4000	0.056375	10.365511	40.576992	11.040000	1.926094	4.753906	3.774414	4.360000	0.529575	1.090000	1.100000	1.060000	1.037736	7.416772	8.530000	1.390000	7.140000	6.432600	23.780000
PA	3HopRnd	False	4000	0.016831	20.298338	50.509819	5.250000	1.923359	1.056641	0.795898	2.270000	0.000000	0.165049	0.172402	0.157422	1.095161	12.197164	8.160000	1.410000	6.750000	6.432600	5.090000
PA	3HopRnd	True	8000	None	nan	nan	None	None	None	None	None	568626688.000000	nan	nan	nan	None	None	None	None	None	None	None
PA	3HopRnd	False	8000	0.025103	19.429758	49.641239	5.710000	1.937500	1.562500	1.384766	2.210000	0.000000	0.270400	0.278525	0.262705	1.060221	14.916150	8.460000	1.410000	7.050000	6.432600	9.260000
