dataset_short	sample_type_short	unsupervised	batch_size	Step L1 train total	theory_cache	mem.trainer.total	mem.trainer.uncountable	mem.trainer.torch.reserve	mem.trainer.torch.reserve.allocated	mem.trainer.sam.total	mem.trainer.sam.cache	mem.trainer.sam.batch_feat	mem.trainer.sam.batch_feat.max	mem.trainer.sam.batch_feat.min	scale_factor	predict_factor	mem.sampler.total	mem.sampler.uncountable	mem.sampler.sam.total	mem.sampler.sam.graph	step.graph.MB
PR	3HopRnd	True	1000	0.011693	1222.491583	4.860000	2.724395	1.417969	1.271484	0.717637	0.009123	0.292969	0.295723	0.290459	1.018122	5.371804	2.570000	1.901689	0.668311	0.470000	14.640000
PR	3HopRnd	False	1000	0.007298	1342.009127	3.770000	2.766152	0.585938	0.552388	0.417910	0.009123	0.161709	0.164453	0.159238	1.032749	2.430587	2.470000	1.939795	0.530205	0.470000	6.240000
PR	3HopRnd	True	2000	0.017509	1044.860004	6.480000	2.750859	2.751953	2.166016	0.977187	0.009123	0.406025	0.409277	0.403643	1.013960	7.753453	2.750000	1.897373	0.852627	0.470000	25.710000
PR	3HopRnd	False	2000	0.009436	1263.061758	4.490000	2.724414	1.148438	0.997070	0.617148	0.009123	0.246650	0.248965	0.244062	1.020086	3.190491	2.480000	1.895146	0.584854	0.470000	11.410000
PR	3HopRnd	True	4000	0.025540	829.947723	8.440000	2.779844	4.410156	3.425781	1.250000	0.009123	0.514043	0.517627	0.511504	1.011971	12.248475	3.100000	1.900000	1.200000	0.470000	42.370000
PR	3HopRnd	False	4000	0.014000	1127.096846	5.730000	2.717939	2.183594	1.686523	0.828467	0.009123	0.343711	0.347520	0.341436	1.017819	4.576505	2.570000	1.882900	0.687100	0.470000	19.870000
PR	3HopRnd	True	8000	0.035940	607.360004	10.470000	2.794219	6.175781	4.988281	1.500000	0.009123	0.605586	0.607393	0.604141	1.005383	20.792633	3.730000	1.900000	1.830000	0.470000	65.090000
PR	3HopRnd	False	8000	0.019767	957.140706	7.280000	2.714141	3.505859	2.666016	1.060000	0.009123	0.440879	0.443076	0.438203	1.011121	7.140943	2.750000	1.873936	0.876064	0.470000	32.400000
TW	3HopRnd	True	1000	0.010416	25.521718	6.260000	2.814609	1.275391	1.206055	2.170000	0.397226	0.572910	0.584023	0.552422	1.057205	7.028929	7.710000	1.910000	5.800000	5.625200	9.180000
TW	3HopRnd	False	1000	0.005499	30.330378	4.350000	2.930156	0.339844	0.309019	1.080000	0.397226	0.139746	0.153516	0.128076	1.198628	7.212622	7.700000	2.030000	5.670000	5.625200	1.950000
TW	3HopRnd	True	2000	0.015172	20.285061	8.340000	2.807656	2.652344	1.970703	2.880000	0.397226	0.896924	0.908857	0.879121	1.033825	8.989328	7.870000	1.900000	5.970000	5.625200	16.170000
TW	3HopRnd	False	2000	0.006395	28.467337	5.090000	2.832891	0.787109	0.513347	1.470000	0.397226	0.242256	0.261865	0.225625	1.160622	8.312179	7.650000	1.940000	5.710000	5.625200	3.540000
TW	3HopRnd	True	4000	0.023128	16.206511	9.960000	2.831719	3.238281	3.145508	3.890000	0.397226	1.360000	1.380000	1.350000	1.022222	11.820824	8.200000	1.910000	6.290000	5.625200	27.890000
TW	3HopRnd	False	4000	0.008076	26.981939	5.680000	2.806797	1.033203	0.862305	1.840000	0.397226	0.414990	0.429814	0.400938	1.072024	9.702449	7.700000	1.900000	5.800000	5.625200	6.320000
TW	3HopRnd	True	8000	0.034980	1.402886	15.840000	2.855000	7.625000	4.935547	5.360000	0.397226	2.020000	2.040000	2.010000	1.014925	15.946784	8.840000	1.900000	6.940000	5.625200	47.140000
TW	3HopRnd	False	8000	0.011952	21.997045	7.660000	2.782500	2.437500	1.486328	2.440000	0.397226	0.694912	0.711533	0.684209	1.039935	11.581773	7.840000	1.890000	5.950000	5.625200	11.530000
PA	3HopRnd	True	1000	0.009238	19.976539	5.950000	2.821094	0.878906	0.833984	2.250000	0.529575	0.293604	0.304756	0.280771	1.085423	6.833061	8.520000	1.910000	6.610000	6.432600	6.130000
PA	3HopRnd	False	1000	0.005542	20.505240	5.670000	3.294531	0.355469	0.224998	2.020000	0.529575	0.053408	0.060566	0.047803	1.267007	9.447382	8.880000	2.390000	6.490000	6.432600	1.500000
PA	3HopRnd	True	2000	0.014508	15.331524	8.410000	2.836953	2.373047	1.620117	3.200000	0.529575	0.571182	0.587578	0.559902	1.049430	7.040252	8.690000	1.910000	6.780000	6.432600	12.090000
PA	3HopRnd	False	2000	0.006214	20.543004	5.650000	3.038047	0.501953	0.384212	2.110000	0.529575	0.095850	0.101924	0.090117	1.131014	10.486438	8.660000	2.120000	6.540000	6.432600	2.730000
PA	3HopRnd	True	4000	0.024305	8.496176	12.030000	2.842656	4.777344	3.226562	4.410000	0.529575	1.080000	1.110000	1.060000	1.047170	7.419782	9.030000	1.910000	7.120000	6.432600	23.780000
PA	3HopRnd	False	4000	0.007686	19.693306	6.100000	2.912500	0.937500	0.684793	2.250000	0.529575	0.164717	0.170586	0.158506	1.076212	12.231530	8.610000	2.000000	6.610000	6.432600	5.060000
PA	3HopRnd	True	8000	0.042581	1.245421	15.870000	2.884375	6.515625	6.305664	6.470000	0.529575	1.990000	2.010000	1.960000	1.025510	8.112406	9.720000	1.910000	7.810000	6.432600	46.440000
PA	3HopRnd	False	8000	0.010824	18.390436	6.790000	2.847578	1.732422	1.225586	2.210000	0.529575	0.268955	0.276279	0.261885	1.054965	14.962832	8.710000	1.930000	6.780000	6.432600	9.190000
PA_U	3HopRnd	True	1000	0.014884	14.406297	8.900000	2.842109	2.087891	2.023438	3.970000	0.529575	0.906982	0.916611	0.897305	1.021516	2.219212	14.560000	1.910000	12.650000	12.439400	17.730000
PA_U	3HopRnd	False	1000	0.007070	19.693306	6.100000	3.310859	0.619141	0.575161	2.170000	0.529575	0.242354	0.252090	0.232939	1.082212	2.078691	14.900000	2.400000	12.500000	12.439400	5.580000
PA_U	3HopRnd	True	2000	0.025151	5.663850	13.530000	2.860703	4.779297	3.936523	5.890000	0.529575	1.730000	1.740000	1.710000	1.017544	2.333014	14.760000	1.900000	12.860000	12.439400	35.100000
PA_U	3HopRnd	False	2000	0.009467	18.862490	6.540000	3.052344	1.097656	1.034180	2.390000	0.529575	0.428711	0.442061	0.418125	1.057245	2.349272	14.680000	2.120000	12.560000	12.439400	10.640000
PA_U	3HopRnd	True	4000	0.045017	-6.288567	19.860000	2.919062	7.710938	7.450195	9.230000	0.529575	3.180000	3.200000	3.160000	1.012658	2.533211	15.180000	1.910000	13.270000	12.439400	68.550000
PA_U	3HopRnd	False	4000	0.014643	14.614001	8.790000	2.933594	2.316406	1.852539	3.540000	0.529575	0.721572	0.737236	0.708145	1.041082	2.790956	14.660000	2.000000	12.660000	12.439400	19.780000
PA_U	3HopRnd	True	8000	0.081855	-28.758356	31.760000	3.021406	14.058594	13.641602	14.680000	0.529575	5.590000	5.610000	5.560000	1.008993	2.883315	16.000000	1.910000	14.090000	12.439400	132.850000
PA_U	3HopRnd	False	8000	0.023345	10.780919	10.820000	2.899609	3.400391	3.216797	4.520000	0.529575	1.150000	1.180000	1.140000	1.035088	3.489584	14.800000	1.930000	12.870000	12.439400	35.760000
UK	3HopRnd	True	1000	0.008903	14.015910	6.350000	2.864687	0.945312	0.894531	2.540000	0.741396	0.357852	0.378213	0.342441	1.104460	11.220912	13.410000	1.900000	11.510000	11.335800	6.550000
UK	3HopRnd	False	1000	0.005250	15.297270	5.400000	3.244141	0.255859	0.224216	1.900000	0.741396	0.064580	0.077100	0.054922	1.403805	15.641200	13.680000	2.290000	11.390000	11.335800	1.230000
UK	3HopRnd	True	2000	0.013556	11.129479	8.490000	2.875000	2.375000	1.659180	3.240000	0.741396	0.665156	0.693896	0.640146	1.083965	12.079046	13.580000	1.910000	11.670000	11.335800	12.290000
UK	3HopRnd	False	2000	0.005918	15.067974	5.570000	3.030000	0.500000	0.362144	2.040000	0.741396	0.128291	0.140937	0.116416	1.210637	15.744510	13.510000	2.080000	11.430000	11.335800	2.370000
UK	3HopRnd	True	4000	0.022045	7.649576	11.070000	2.895703	3.654297	3.067383	4.520000	0.741396	1.230000	1.260000	1.200000	1.050000	13.170788	13.910000	1.910000	12.000000	11.335800	23.360000
UK	3HopRnd	False	4000	0.013303	14.798214	5.770000	2.938203	0.841797	0.619497	1.990000	0.741396	0.252949	0.269023	0.235664	1.141555	15.907747	13.490000	1.970000	11.520000	11.335800	4.560000
UK	3HopRnd	True	8000	0.037203	-1.522261	17.870000	2.928906	8.371094	5.430664	6.570000	0.741396	2.200000	2.230000	2.150000	1.037209	14.685323	14.570000	1.910000	12.660000	11.335800	43.600000
UK	3HopRnd	False	8000	0.010192	12.127591	7.750000	2.880469	2.019531	1.205078	2.850000	0.741396	0.495381	0.516357	0.478086	1.080051	16.203526	13.580000	1.920000	11.660000	11.335800	8.950000
CF	3HopRnd	True	1000	0.018462	12.523932	12.340000	2.867734	3.572266	3.499023	5.900000	0.625690	2.000000	2.020000	1.970000	1.025381	2.016753	15.820000	1.900000	13.920000	13.700700	18.970000
CF	3HopRnd	False	1000	0.007215	28.859408	6.750000	3.242266	0.927734	0.884766	2.580000	0.625690	0.480117	0.511563	0.444424	1.151069	2.095350	16.060000	2.300000	13.760000	13.700700	4.480000
CF	3HopRnd	True	2000	0.031353	-6.558476	18.870000	2.903594	6.566406	6.444336	9.400000	0.625690	3.600000	3.630000	3.580000	1.013966	2.235550	16.040000	1.910000	14.130000	13.700700	37.040000
CF	3HopRnd	False	2000	0.010009	24.505229	8.240000	3.028359	1.681641	1.618164	3.530000	0.625690	0.938037	0.988301	0.894434	1.104946	2.147749	15.890000	2.080000	13.810000	13.700700	8.840000
CF	3HopRnd	True	4000	0.055001	-38.118967	29.670000	2.950234	11.759766	11.506836	14.960000	0.625690	6.120000	6.160000	6.090000	1.011494	2.631388	16.450000	1.910000	14.540000	13.700700	71.500000
CF	3HopRnd	False	4000	0.016111	14.715633	11.590000	2.922969	3.207031	3.144531	5.460000	0.625690	1.790000	1.830000	1.750000	1.045714	2.248230	15.890000	1.980000	13.910000	13.700700	17.060000
CF	3HopRnd	True	8000	0.097135	-84.173906	45.430000	3.037813	19.742188	19.342773	22.650000	0.625690	9.660000	9.700000	9.620000	1.008316	3.336425	17.260000	1.900000	15.360000	13.700700	134.280000
CF	3HopRnd	False	8000	0.028131	-3.022532	17.660000	2.897813	5.992188	5.873047	8.770000	0.625690	3.300000	3.370000	3.260000	1.033742	2.437812	16.030000	1.910000	14.120000	13.700700	33.640000
MAG2_H	3HopRnd	True	1000	0.037565	-2.286843	27.480000	3.431875	12.578125	12.516602	11.470000	3.492743	2.230000	2.280000	2.180000	1.045872	2.714517	15.880000	1.900000	13.980000	13.778500	14.630000
MAG2_H	3HopRnd	False	1000	0.013208	1.363628	14.730000	3.858359	3.681641	3.632812	7.190000	3.492743	0.626602	0.658574	0.593857	1.108977	2.411592	16.190000	2.350000	13.840000	13.778500	4.650000
MAG2_H	3HopRnd	True	2000	0.067350	-7.554974	45.880000	3.456797	26.533203	23.576172	15.890000	3.492743	4.260000	4.340000	4.180000	1.038278	2.835437	16.090000	1.910000	14.180000	13.778500	28.690000
MAG2_H	3HopRnd	False	2000	0.021032	-0.019257	19.560000	3.621250	6.968750	6.353516	8.970000	3.492743	1.150000	1.190000	1.110000	1.072072	2.617723	16.000000	2.110000	13.890000	13.778500	8.930000
MAG2_H	3HopRnd	True	4000	0.127210	-16.516522	77.180000	3.519609	49.650391	44.047852	24.010000	3.492743	7.960000	8.070000	7.860000	1.026718	3.035892	16.490000	1.920000	14.570000	13.778500	56.490000
MAG2_H	3HopRnd	False	4000	0.035386	-3.956039	33.310000	3.509609	18.900391	11.303711	10.900000	3.492743	2.040000	2.110000	1.990000	1.060302	2.964067	15.990000	2.000000	13.990000	13.778500	17.400000
MAG2_H	3HopRnd	True	8000	None	nan	None	None	None	None	None	3750303744.000000	nan	nan	nan	None	None	None	None	None	None	None
MAG2_H	3HopRnd	False	8000	None	nan	None	None	None	None	None	nan	nan	nan	nan	None	None	None	None	None	None	None
