       |                             Optimal                              |                         Selfish                          | Info
Boost  | Pulp     Time         Time1    Time2     Rep   Part1 Part2 CPU   | Time         Time1    Time2     Rep    Part1 Part2 CPU   | GPU  T_L   T_R   T_C   LOG
 83.78 |   149.75=  149.75=max(  149.75,  149.74) 14.98 12.02 12.02 60.98 |   178.74=max(  178.74,  178.67)  22.43  4.57  4.57 68.43 | 11GB  2.00 15.00 60.00 run-logs/part2-0/report_optimal_samgraph_cache_gcn_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    91.19=   91.19=max(   91.19,   91.19) 55.20  4.10  0.84 39.86 |    91.19=max(   91.19,   91.19)  61.39  5.61  5.61 27.39 | 27GB  2.00 15.00 60.00 run-logs/part2-0/report_optimal_samgraph_cache_gcn_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    45.59=   45.59=max(   45.59,   45.59) 57.62  2.47  0.00 39.90 |    45.59=max(   45.59,   45.59)  86.32  1.68  1.68 10.32 | 35GB  1.00  2.08 45.45 run-logs/part2-0/report_optimal_samgraph_cache_gcn_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    45.59=   45.59=max(   45.59,   45.59) 100.00  0.00  0.00  0.00 |    45.59=max(   45.59,   45.59) 100.00  0.00  0.00  0.00 | 75GB  1.00  2.08 45.45 run-logs/part2-0/report_optimal_samgraph_cache_gcn_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
 86.40 |    47.90=   47.90=max(   47.90,   47.82) 16.65 10.35 10.34 62.66 |    55.44=max(   55.40,   55.44)  20.58  6.42  6.42 66.58 | 11GB  2.00 15.00 60.00 run-logs/part2-0/report_optimal_samgraph_cache_graphsage_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    44.63=   44.63=max(   44.63,   44.63) 49.93  3.55  1.80 44.72 |    44.63=max(   44.63,   44.63)  63.78  3.22  3.22 29.78 | 27GB  2.00 15.00 60.00 run-logs/part2-0/report_optimal_samgraph_cache_graphsage_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    22.32=   22.32=max(   22.31,   22.32) 44.58  3.61  3.63 48.18 |    22.32=max(   22.31,   22.32)  86.95  1.05  1.05 10.95 | 35GB  1.00  2.08 45.45 run-logs/part2-0/report_optimal_samgraph_cache_graphsage_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    22.32=   22.32=max(   22.31,   22.32) 100.00  0.00  0.00  0.00 |    22.32=max(   22.31,   22.32) 100.00  0.00  0.00  0.00 | 75GB  1.00  2.08 45.45 run-logs/part2-0/report_optimal_samgraph_cache_graphsage_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
 77.86 |    56.98=   56.98=max(   56.98,   56.98) 12.44 14.56 14.56 58.44 |    73.19=max(   73.12,   73.19)  20.37  6.63  6.63 66.37 | 11GB  2.00 15.00 60.00 run-logs/part2-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    48.11=   48.11=max(   48.10,   48.11) 50.62  1.73  1.67 45.98 |    48.11=max(   48.09,   48.11)  63.11  3.89  3.89 29.11 | 27GB  2.00 15.00 60.00 run-logs/part2-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    24.06=   24.06=max(   24.05,   24.06) 51.35  3.46  0.94 44.24 |    24.06=max(   24.05,   24.06)  86.90  1.10  1.10 10.90 | 35GB  1.00  2.08 45.45 run-logs/part2-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    24.06=   24.06=max(   24.05,   24.06) 98.52  0.41  1.07  0.00 |    24.06=max(   24.05,   24.06) 100.00  0.00  0.00  0.00 | 75GB  1.00  2.08 45.45 run-logs/part2-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
 77.23 |    61.49=   61.49=max(   61.49,   61.49) 10.66 16.33 16.34 56.67 |    79.61=max(   79.53,   79.61)  20.88  6.12  6.12 66.88 | 11GB  2.00 15.00 60.00 run-logs/part2-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    42.76=   42.76=max(   42.76,   42.76) 50.44  1.74  0.01 47.81 |    42.76=max(   42.76,   42.76)  63.06  3.94  3.94 29.06 | 27GB  2.00 15.00 60.00 run-logs/part2-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    21.38=   21.38=max(   21.38,   21.38) 52.29  4.40  3.49 39.82 |    21.38=max(   21.38,   21.38)  86.79  1.21  1.21 10.79 | 35GB  1.00  2.08 45.45 run-logs/part2-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    21.38=   21.38=max(   21.38,   21.38) 100.00  0.00  0.00  0.00 |    21.38=max(   21.38,   21.38) 100.00  0.00  0.00  0.00 | 75GB  1.00  2.08 45.45 run-logs/part2-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000

