       |                              Optimal                              |                         Selfish                          | Info
Boost  | Pulp     Time         Time1    Time2     Rep    Part1 Part2 CPU   | Time         Time1    Time2     Rep    Part1 Part2 CPU   | GPU  T_L   T_R   T_C   LOG
 84.05 |    56.88=   56.88=max(   56.88,   56.87)  17.81  6.86  8.55 63.81 |    67.67=max(   67.62,   67.59)  20.69  2.78  2.78 66.69 | 11GB  2.00 15.00 60.00 run-logs/part4-0/report_optimal_samgraph_cache_gcn_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    45.65=   45.65=max(   45.63,   45.64)  37.15  0.00  0.00 49.47 |    45.65=max(   45.63,   45.64)  63.21  1.85  1.85 29.21 | 27GB  2.00 15.00 60.00 run-logs/part4-0/report_optimal_samgraph_cache_gcn_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    22.35=   22.35=max(   22.35,   22.35)  16.96  2.70  0.00 68.52 |    22.35=max(   22.35,   22.35)  21.72  2.49  2.49 67.72 | 11GB  2.00 15.00 60.00 run-logs/part4-0/report_optimal_samgraph_cache_graphsage_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    22.35=   22.35=max(   22.35,   22.35)  22.17  0.00  0.00 67.50 |    22.35=max(   22.35,   22.35)  64.95  1.06  1.06 30.95 | 27GB  2.00 15.00 60.00 run-logs/part4-0/report_optimal_samgraph_cache_graphsage_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.46 |    24.16=   24.16=max(   24.16,   24.08)  15.61  3.73  3.75 68.98 |    24.05=max(   24.03,   24.05)  19.81  3.54  3.54 65.81 | 11GB  2.00 15.00 60.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    24.05=   24.05=max(   24.03,   24.05)  26.00  0.00  0.00 60.23 |    24.05=max(   24.03,   24.05)  64.31  1.46  1.46 30.31 | 27GB  2.00 15.00 60.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.05 |    21.41=   21.41=max(   21.40,   21.41)  18.61  2.96  3.31 66.18 |    21.40=max(   21.40,   21.40)  19.60  3.29  3.28 65.60 | 11GB  2.00 15.00 60.00 run-logs/part4-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    21.40=   21.40=max(   21.40,   21.40)  29.09  0.00  0.00 59.01 |    21.40=max(   21.40,   21.40)  64.16  1.33  1.34 30.16 | 27GB  2.00 15.00 60.00 run-logs/part4-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    38.74=   38.74=max(   38.74,   38.74)   8.46  0.00  0.00 90.97 |    38.74=max(   38.74,   38.74)  19.22  0.32  0.32 79.22 | 11GB  2.00 15.00 60.00 run-logs/part4-0/report_optimal_samgraph_cache_gcn_kKHop2_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    38.74=   38.74=max(   38.74,   38.74)   8.46  0.00  0.00 90.97 |    38.74=max(   38.74,   38.74)  49.54  0.20  0.20 49.54 | 27GB  2.00 15.00 60.00 run-logs/part4-0/report_optimal_samgraph_cache_gcn_kKHop2_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
