       |                                                                       Optimal                                                                       |                                                                    Naive                                                                    |                                                                     Info
Boost  |  Pulp  = Time  =max( Time0 , Time1 , Time2 , Time3 , Time4 , Time5 , Time6 , Time7 )  Rep   (Part0,Part1,Part2,Part3,Part4,Part5,Part6,Part7)  CPU  |  Time  =max( Time0 , Time1 , Time2 , Time3 , Time4 , Time5 , Time6 , Time7 )  Rep   (Part0,Part1,Part2,Part3,Part4,Part5,Part6,Part7)  CPU  | GPU   T_L   T_R   T_C  LOG
100.00 |   23.17=  23.17=max(  23.16,  23.17,  23.17,  23.17,  23.16,  23.17,  23.16,  23.16)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 |   23.17=max(  23.16,  23.17,  23.16,  23.15,  23.16,  23.17,  23.16,  23.16)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 | 11GB  2.00 15.00 60.00 run-logs/part8-0/report_optimal_samgraph_cache_gcn_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   23.17=  23.17=max(  23.16,  23.17,  23.16,  23.16,  23.16,  23.17,  23.16,  23.16)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 |   23.17=max(  23.16,  23.17,  23.16,  23.15,  23.16,  23.17,  23.16,  23.16)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 | 27GB  2.00 15.00 60.00 run-logs/part8-0/report_optimal_samgraph_cache_gcn_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   11.58=  11.58=max(  11.58,  11.58,  11.58,  11.58,  11.58,  11.58,  11.58,  11.58)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 |   11.58=max(  11.58,  11.58,  11.58,  11.58,  11.58,  11.58,  11.58,  11.58)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 | 35GB  1.00  2.08 45.45 run-logs/part8-0/report_optimal_samgraph_cache_gcn_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   11.29=  11.29=max(  11.28,  11.28,  11.28,  11.28,  11.28,  11.28,  11.28,  11.29)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 |   11.29=max(  11.28,  11.28,  11.28,  11.28,  11.28,  11.28,  11.28,  11.29)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 | 11GB  2.00 15.00 60.00 run-logs/part8-0/report_optimal_samgraph_cache_graphsage_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   11.29=  11.29=max(  11.28,  11.28,  11.28,  11.28,  11.28,  11.28,  11.28,  11.29)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 |   11.29=max(  11.28,  11.28,  11.28,  11.28,  11.28,  11.28,  11.28,  11.29)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 | 27GB  2.00 15.00 60.00 run-logs/part8-0/report_optimal_samgraph_cache_graphsage_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    5.64=   5.64=max(   5.64,   5.64,   5.64,   5.64,   5.64,   5.64,   5.64,   5.64)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 |    5.64=max(   5.64,   5.64,   5.64,   5.64,   5.64,   5.64,   5.64,   5.64)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 | 35GB  1.00  2.08 45.45 run-logs/part8-0/report_optimal_samgraph_cache_graphsage_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   12.18=  12.18=max(  12.17,  12.18,  12.18,  12.18,  12.18,  12.18,  12.17,  12.17)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 |   12.18=max(  12.17,  12.18,  12.17,  12.17,  12.16,  12.17,  12.17,  12.17)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 | 11GB  2.00 15.00 60.00 run-logs/part8-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   12.18=  12.18=max(  12.17,  12.18,  12.17,  12.17,  12.18,  12.17,  12.17,  12.17)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 |   12.18=max(  12.17,  12.18,  12.17,  12.17,  12.16,  12.17,  12.17,  12.17)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 | 27GB  2.00 15.00 60.00 run-logs/part8-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    6.09=   6.09=max(   6.09,   6.09,   6.09,   6.09,   6.09,   6.09,   6.09,   6.09)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 |    6.09=max(   6.08,   6.09,   6.08,   6.08,   6.08,   6.08,   6.08,   6.09)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 | 35GB  1.00  2.08 45.45 run-logs/part8-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   10.77=  10.77=max(  10.77,  10.77,  10.77,  10.77,  10.77,  10.77,  10.77,  10.77)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 |   10.77=max(  10.77,  10.77,  10.77,  10.77,  10.77,  10.77,  10.77,  10.77)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 | 11GB  2.00 15.00 60.00 run-logs/part8-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   10.77=  10.77=max(  10.77,  10.77,  10.77,  10.77,  10.77,  10.77,  10.77,  10.77)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 |   10.77=max(  10.77,  10.77,  10.77,  10.77,  10.77,  10.77,  10.77,  10.77)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 | 27GB  2.00 15.00 60.00 run-logs/part8-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    5.39=   5.39=max(   5.39,   5.39,   5.39,   5.39,   5.39,   5.39,   5.39,   5.39)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 |    5.39=max(   5.39,   5.39,   5.38,   5.39,   5.39,   5.39,   5.38,   5.39)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 | 35GB  1.00  2.08 45.45 run-logs/part8-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
 77.65 |   32.18=  32.18=max(  32.18,  32.18,  32.18,  32.18,  32.18,  32.18,  32.18,  32.18)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 |   41.44=max(  41.43,  41.42,  41.44,  41.43,  41.42,  41.43,  41.43,  41.44)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 | 11GB  2.00 15.00 60.00 run-logs/part8-0/report_optimal_samgraph_cache_gcn_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   20.98=  20.98=max(  20.97,  20.98,  20.97,  20.97,  20.98,  20.98,  20.97,  20.98)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 |   20.98=max(  20.97,  20.97,  20.97,  20.97,  20.98,  20.97,  20.97,  20.98)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 | 27GB  2.00 15.00 60.00 run-logs/part8-0/report_optimal_samgraph_cache_gcn_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   10.49=  10.49=max(  10.49,  10.49,  10.49,  10.49,  10.49,  10.49,  10.49,  10.49)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 |   10.49=max(  10.48,  10.49,  10.49,  10.48,  10.49,  10.49,  10.49,  10.49)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 | 35GB  1.00  2.08 45.45 run-logs/part8-0/report_optimal_samgraph_cache_gcn_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   10.66=  10.66=max(  10.66,  10.66,  10.66,  10.66,  10.66,  10.66,  10.66,  10.66)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 |   10.66=max(  10.66,  10.66,  10.66,  10.66,  10.66,  10.66,  10.66,  10.66)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 | 11GB  2.00 15.00 60.00 run-logs/part8-0/report_optimal_samgraph_cache_graphsage_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   10.66=  10.66=max(  10.66,  10.66,  10.66,  10.66,  10.66,  10.66,  10.66,  10.66)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 |   10.66=max(  10.66,  10.66,  10.66,  10.66,  10.66,  10.66,  10.66,  10.66)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 | 27GB  2.00 15.00 60.00 run-logs/part8-0/report_optimal_samgraph_cache_graphsage_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    5.33=   5.33=max(   5.33,   5.33,   5.33,   5.33,   5.33,   5.33,   5.33,   5.33)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 |    5.33=max(   5.33,   5.33,   5.33,   5.33,   5.33,   5.33,   5.33,   5.33)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 | 35GB  1.00  2.08 45.45 run-logs/part8-0/report_optimal_samgraph_cache_graphsage_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 70.95 |   36.10=  36.10=max(  36.10,  36.10,  36.10,  36.10,  36.10,  36.10,  36.10,  36.10)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 |   50.88=max(  50.86,  50.88,  50.84,  50.81,  50.87,  50.86,  50.82,  50.88)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 | 11GB  2.00 15.00 60.00 run-logs/part8-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   16.79=  16.79=max(  16.79,  16.79,  16.78,  16.78,  16.79,  16.78,  16.78,  16.79)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 |   16.79=max(  16.78,  16.79,  16.78,  16.78,  16.79,  16.78,  16.78,  16.79)   0.00 ( 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00)  0.00 | 27GB  2.00 15.00 60.00 run-logs/part8-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
