       |                                 Optimal                                  |                              Naive                               |                                                                     Info
Boost  |  Pulp  = Time  =max( Time0 , Time1 , Time2 , Time3 )  Rep    CPU  LPTime |  Time  =max( Time0 , Time1 , Time2 , Time3 )  Rep    CPU  LPTime | GPU   T_L   T_R   T_C  LOG
 62.27 |  285.46= 285.46=max( 285.46, 285.46, 285.46, 285.46)   0.00  0.00   3.29 |  458.45=max( 458.45, 458.45, 458.45, 458.45)   0.00  0.00   3.04 | 11GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |  182.48= 182.48=max( 182.48, 182.48, 182.48, 182.48)   0.00  0.00   3.20 |  182.48=max( 182.48, 182.48, 182.48, 182.48)   0.00  0.00   2.70 | 27GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   91.24=  91.24=max(  91.24,  91.24,  91.24,  91.24)   0.00  0.00   3.18 |   91.24=max(  91.24,  91.24,  91.24,  91.24)   0.00  0.00   1.41 | 35GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   91.24=  91.24=max(  91.24,  91.24,  91.24,  91.24)   0.00  0.00   3.20 |   91.24=max(  91.24,  91.24,  91.24,  91.24)   0.00  0.00   1.38 | 75GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
 65.22 |  112.08= 112.08=max( 112.08, 112.08, 112.08, 112.08)   0.00  0.00   2.44 |  171.85=max( 171.85, 171.85, 171.85, 171.85)   0.00  0.00   2.76 | 11GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_graphsage_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   89.30=  89.30=max(  89.30,  89.30,  89.30,  89.30)   0.00  0.00   2.45 |   89.30=max(  89.30,  89.30,  89.30,  89.30)   0.00  0.00   2.37 | 27GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_graphsage_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   44.65=  44.65=max(  44.65,  44.65,  44.65,  44.65)   0.00  0.00   2.48 |   44.65=max(  44.65,  44.65,  44.65,  44.65)   0.00  0.00   1.41 | 35GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_graphsage_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   44.65=  44.65=max(  44.65,  44.65,  44.65,  44.65)   0.00  0.00   2.52 |   44.65=max(  44.65,  44.65,  44.65,  44.65)   0.00  0.00   1.34 | 75GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_graphsage_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
 63.55 |  123.75= 123.75=max( 123.75, 123.75, 123.75, 123.75)   0.00  0.00   2.61 |  194.75=max( 194.75, 194.75, 194.75, 194.75)   0.00  0.00   2.96 | 11GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
