       |                         Optimal                          |                      Naive                       |                                                                     Info
Boost  |  Pulp  = Time  =max( Time0 , Time1 )  Rep    CPU  LPTime |  Time  =max( Time0 , Time1 )  Rep    CPU  LPTime | GPU   T_L   T_R   T_C  LOG
 76.60 |  351.17= 351.17=max( 351.17, 351.17)   0.00  0.00   3.25 |  458.45=max( 458.45, 458.45)   0.00  0.00   3.91 | 11GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |  182.48= 182.48=max( 182.48, 182.48)   0.00  0.00   3.38 |  182.48=max( 182.48, 182.48)   0.00  0.00   4.05 | 27GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   91.24=  91.24=max(  91.24,  91.24)   0.00  0.00   3.19 |   91.24=max(  91.24,  91.24)   0.00  0.00   2.17 | 35GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
 76.24 |  131.02= 131.02=max( 131.02, 131.02)   0.00  0.00   2.58 |  171.85=max( 171.85, 171.85)   0.00  0.00   3.90 | 11GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_graphsage_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   89.30=  89.30=max(  89.30,  89.30)   0.00  0.00   2.50 |   89.30=max(  89.30,  89.30)   0.00  0.00   2.15 | 27GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_graphsage_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   44.65=  44.65=max(  44.65,  44.65)   0.00  0.00   2.49 |   44.65=max(  44.65,  44.65)   0.00  0.00   1.70 | 35GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_graphsage_kKHop2_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
 75.61 |  147.26= 147.26=max( 147.26, 147.26)   0.00  0.00   2.59 |  194.75=max( 194.75, 194.75)   0.00  0.00   4.07 | 11GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   96.20=  96.20=max(  96.20,  96.20)   0.00  0.00   2.60 |   96.20=max(  96.20,  96.20)   0.00  0.00   2.56 | 27GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   48.10=  48.10=max(  48.10,  48.10)   0.00  0.00   2.81 |   48.10=max(  48.10,  48.10)   0.00  0.00   1.36 | 35GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
 74.18 |  172.32= 172.32=max( 172.32, 172.32)   0.00  0.00   2.89 |  232.31=max( 232.31, 232.31)   0.00  0.00   4.15 | 11GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_twitter_cache_by_presample_1_cache_rate_000_batch_size_8000
