       |                                 Optimal                                  |                              Naive                               |                                                                           Info
Boost  |  Pulp  = Time  =max( Time0 , Time1 , Time2 , Time3 )  Rep    CPU  LPTime |  Time  =max( Time0 , Time1 , Time2 , Time3 )  Rep    CPU  LPTime | GPU   T_L   T_R   T_C  LOG
 19.02 |   16.75=  16.75=max(  16.75,  16.75,  16.75,  16.74)   0.00  0.00  16.64 |   88.08=max(  88.01,  88.01,  88.08,  88.02)   0.00  0.00  10.33 | 11GB  1.00  1.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 28.75 |   25.62=  25.62=max(  25.62,  25.62,  25.62,  25.62)   0.00  0.00  16.45 |   89.10=max(  89.03,  89.03,  89.10,  89.04)   0.00  0.00   9.74 | 11GB  1.00  2.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 37.65 |   33.93=  33.93=max(  33.93,  33.93,  33.93,  33.93)   0.00  0.00  16.96 |   90.12=max(  90.05,  90.05,  90.12,  90.06)   0.00  0.00  10.61 | 11GB  1.00  3.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 44.40 |   40.47=  40.47=max(  40.47,  40.47,  40.47,  40.47)   0.00  0.00  16.24 |   91.14=max(  91.07,  91.07,  91.14,  91.08)   0.00  0.00   9.74 | 11GB  1.00  4.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 49.82 |   45.92=  45.92=max(  45.92,  45.92,  45.92,  45.92)   0.00  0.00  16.93 |   92.16=max(  92.09,  92.08,  92.16,  92.10)   0.00  0.00   9.99 | 11GB  1.00  5.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 55.13 |   51.37=  51.37=max(  51.37,  51.37,  51.37,  51.37)   0.00  0.00  17.35 |   93.18=max(  93.11,  93.10,  93.18,  93.12)   0.00  0.00  10.77 | 11GB  1.00  6.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 60.05 |   56.56=  56.56=max(  56.56,  56.56,  56.56,  56.56)   0.00  0.00  16.86 |   94.20=max(  94.13,  94.12,  94.20,  94.14)   0.00  0.00  10.46 | 11GB  1.00  7.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 63.85 |   60.80=  60.80=max(  60.80,  60.80,  60.80,  60.80)   0.00  0.00  16.60 |   95.22=max(  95.15,  95.14,  95.22,  95.16)   0.00  0.00  10.07 | 11GB  1.00  8.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 67.57 |   65.03=  65.03=max(  65.03,  65.03,  65.03,  65.03)   0.00  0.00  16.41 |   96.24=max(  96.17,  96.16,  96.24,  96.18)   0.00  0.00   9.97 | 11GB  1.00  9.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
